Time,Load_limit,PV_Power,Building_Load,KED
15.04.2019 00:00,73.96,0.0,14.016904,0.0
15.04.2019 00:15,75.96,0.0,12.823976,0.0
15.04.2019 00:30,74.96,0.0,13.569556,0.0
15.04.2019 00:45,74.96,0.0,13.42044,0.0
15.04.2019 01:00,74.96,0.0,13.271324,0.0
15.04.2019 01:15,74.96,0.0,13.271324,0.0
15.04.2019 01:30,74.96,0.0,13.271324,0.0
15.04.2019 01:45,74.96,0.0,13.271324,0.0
15.04.2019 02:00,74.96,0.0,13.271324,0.0
15.04.2019 02:15,74.96,0.0,13.271324,0.0
15.04.2019 02:30,74.96,0.0,13.42044,0.0
15.04.2019 02:45,74.96,0.0,13.42044,0.0
15.04.2019 03:00,74.96,0.0,13.42044,0.0
15.04.2019 03:15,74.96,0.0,13.271324,0.0
15.04.2019 03:30,74.96,0.0,13.122207999999999,0.0
15.04.2019 03:45,75.96,0.0,12.823976,0.0
15.04.2019 04:00,75.96,0.0,12.525744,0.0
15.04.2019 04:15,75.96,0.0,12.227511999999999,0.0
15.04.2019 04:30,75.96,0.0,12.078396000000001,0.0
15.04.2019 04:45,77.2238371854445,0.26383718544450435,11.92928,0.0
15.04.2019 05:00,77.5536336673095,0.5936336673094983,11.92928,0.0
15.04.2019 05:15,79.20261607663446,2.2426160766344676,11.92928,0.0
15.04.2019 05:30,79.3239241149517,3.363924114951701,12.078396000000001,0.0
15.04.2019 05:45,81.9622959688031,6.002295968803111,12.078396000000001,0.0
15.04.2019 06:00,83.47935978789909,7.5193597878990905,12.227511999999999,0.0
15.04.2019 06:15,84.79854571393435,8.838545713934344,12.67486,0.0
15.04.2019 06:30,82.55560952709398,10.355609527093986,13.122207999999999,2.760000000000005
15.04.2019 06:45,87.30467886556995,15.104678865569971,13.569556,2.760000000000005
15.04.2019 07:00,89.92214972164831,15.96214972164832,14.166020000000001,0.0
15.04.2019 07:15,91.70305072357681,17.74305072357682,14.613368,0.0
15.04.2019 07:30,92.4945622780107,18.534562278010704,14.762483999999999,0.0
15.04.2019 07:45,93.6712190601243,20.71121906012431,15.060716000000001,0.0
15.04.2019 08:00,92.4942421749284,22.294242174928414,15.358948000000002,2.760000000000005
15.04.2019 08:15,91.04313765154056,20.84313765154057,15.806296,2.760000000000005
15.04.2019 08:30,86.48133564768357,17.281335647683576,16.700992000000003,2.760000000000005
15.04.2019 08:45,88.31758539281479,20.117585392814807,17.744804000000002,2.760000000000005
15.04.2019 09:00,83.68982409324968,16.489824093249688,18.788616,2.760000000000005
15.04.2019 09:15,92.77130598808806,23.811305988088062,19.534195999999998,0.0
15.04.2019 09:30,90.67089895110567,24.47089895110568,19.832428,2.760000000000005
15.04.2019 09:45,86.14028839860029,25.46028839860029,19.832428,8.280000000000001
15.04.2019 10:00,86.86584065732605,26.185840657326054,19.683312,8.280000000000001
15.04.2019 10:15,79.83906728765317,27.439067287653177,19.534195999999998,16.560000000000002
15.04.2019 10:30,83.12674165925455,27.96674165925455,19.534195999999998,13.799999999999997
15.04.2019 10:45,89.570171811041,28.89017181104102,19.832428,8.280000000000001
15.04.2019 11:00,88.89996828958166,29.21996828958167,20.13066,8.280000000000001
15.04.2019 11:15,92.25360195689117,29.81360195689117,20.279776000000002,5.519999999999996
15.04.2019 11:30,95.21147984995187,30.011479849951883,20.578007999999997,2.760000000000005
15.04.2019 11:45,92.51743914566002,30.07743914566002,20.727124,5.519999999999996
15.04.2019 12:00,95.27743914566001,30.07743914566002,20.87624,2.760000000000005
15.04.2019 12:15,94.14552054830742,29.94552054830743,21.025356,2.760000000000005
15.04.2019 12:30,92.12168336547491,29.68168336547491,20.87624,5.519999999999996
15.04.2019 12:45,91.65996828958167,29.21996828958167,20.87624,5.519999999999996
15.04.2019 13:00,91.1322939179803,28.692293917980304,20.727124,5.519999999999996
15.04.2019 13:15,87.5807823635464,27.900782363546412,20.578007999999997,8.280000000000001
15.04.2019 13:30,89.81310799194505,27.37310799194505,20.428892,5.519999999999996
15.04.2019 13:45,91.38584065732604,26.185840657326054,20.279776000000002,2.760000000000005
15.04.2019 14:00,87.76836980718403,25.328369807184032,20.13066,5.519999999999996
15.04.2019 14:15,90.1432245795043,23.943224579504317,19.981544,2.760000000000005
15.04.2019 14:30,86.5257537293623,23.085753729362295,19.832428,5.519999999999996
15.04.2019 14:45,81.9848527274338,21.304852727433804,19.832428,8.280000000000001
15.04.2019 15:00,78.30142257564731,20.381422575647324,19.832428,11.040000000000006
15.04.2019 15:15,76.52052157371881,18.60052157371883,19.832428,11.040000000000006
15.04.2019 15:30,81.11709142786869,17.67709142786869,19.832428,5.519999999999996
15.04.2019 15:45,79.13831253287947,15.69831253287947,19.832428,5.519999999999996
15.04.2019 16:00,72.62892309132118,14.708923091321196,19.832428,11.040000000000006
15.04.2019 16:15,67.75822560491571,12.598225604915719,19.832428,13.799999999999997
15.04.2019 16:30,72.15691756600485,11.476917566004856,19.832428,8.280000000000001
15.04.2019 16:45,69.98026078982758,9.300260789827583,19.832428,8.280000000000001
15.04.2019 17:00,71.61895275091672,8.178952750916718,19.832428,5.519999999999996
15.04.2019 17:15,69.44229596880311,6.002295968803111,19.832428,5.519999999999996
15.04.2019 17:30,73.97290652368304,5.012906523683037,19.832428,0.0
15.04.2019 17:45,71.99412763284924,3.034127632849254,19.981544,0.0
15.04.2019 18:00,67.17877889083377,1.9787788908337829,20.13066,2.760000000000005
15.04.2019 18:15,68.5536336673095,0.5936336673094983,20.279776000000002,0.0
15.04.2019 18:30,68.28979648186498,0.32979648186499383,20.428892,0.0
15.04.2019 18:45,67.96,0.0,20.578007999999997,0.0
15.04.2019 19:00,67.96,0.0,20.428892,0.0
15.04.2019 19:15,67.96,0.0,20.279776000000002,0.0
15.04.2019 19:30,68.96,0.0,19.832428,0.0
15.04.2019 19:45,66.19999999999999,0.0,19.235964000000003,2.760000000000005
15.04.2019 20:00,67.19999999999999,0.0,18.788616,2.760000000000005
15.04.2019 20:15,67.19999999999999,0.0,18.341268,2.760000000000005
15.04.2019 20:30,67.19999999999999,0.0,18.192152,2.760000000000005
15.04.2019 20:45,69.96,0.0,18.043035999999997,0.0
15.04.2019 21:00,69.96,0.0,18.043035999999997,0.0
15.04.2019 21:15,70.96,0.0,17.89392,0.0
15.04.2019 21:30,70.96,0.0,17.446572,0.0
15.04.2019 21:45,71.96,0.0,16.850108,0.0
15.04.2019 22:00,69.19999999999999,0.0,16.253644,2.760000000000005
15.04.2019 22:15,70.19999999999999,0.0,15.806296,2.760000000000005
15.04.2019 22:30,72.96,0.0,15.358948000000002,0.0
15.04.2019 22:45,72.96,0.0,15.060716000000001,0.0
15.04.2019 23:00,73.96,0.0,14.9116,0.0
15.04.2019 23:15,73.96,0.0,14.613368,0.0
15.04.2019 23:30,73.96,0.0,14.464251999999998,0.0
15.04.2019 23:45,73.96,0.0,14.166020000000001,0.0

